dteday,year,month,weekday,season,weather_description,cnt,registered,casual,temp
2011-12-14,2011,December,Wednesday,Winter,Partly Cloudy,3740,3562,178,0.3175
2011-12-15,2011,December,Thursday,Winter,Partly Cloudy,3709,3528,181,0.4225
2011-12-16,2011,December,Friday,Winter,Partly Cloudy,3577,3399,178,0.375
2011-12-17,2011,December,Saturday,Winter,Partly Cloudy,2739,2464,275,0.258333
2011-12-18,2011,December,Sunday,Winter,Clear,2431,2211,220,0.238333
2011-12-19,2011,December,Monday,Winter,Clear,3403,3143,260,0.276667
2011-12-20,2011,December,Tuesday,Winter,Partly Cloudy,3750,3534,216,0.385833
2011-12-21,2011,December,Wednesday,Spring,Partly Cloudy,2660,2553,107,0.428333
2011-12-22,2011,December,Thursday,Spring,Partly Cloudy,3068,2841,227,0.423333
2011-12-23,2011,December,Friday,Spring,Clear,2209,2046,163,0.373333
2011-12-24,2011,December,Saturday,Spring,Clear,1011,856,155,0.3025
2011-12-25,2011,December,Sunday,Spring,Clear,754,451,303,0.274783
2011-12-26,2011,December,Monday,Spring,Clear,1317,887,430,0.321739
2011-12-27,2011,December,Tuesday,Spring,Partly Cloudy,1162,1059,103,0.325
2011-12-28,2011,December,Wednesday,Spring,Clear,2302,2047,255,0.29913
2011-12-29,2011,December,Thursday,Spring,Clear,2423,2169,254,0.248333
2011-12-30,2011,December,Friday,Spring,Clear,2999,2508,491,0.311667
2011-12-31,2011,December,Saturday,Spring,Clear,2485,1820,665,0.41
2012-01-01,2012,January,Sunday,Spring,Clear,2294,1608,686,0.37
2012-01-02,2012,January,Monday,Spring,Clear,1951,1707,244,0.273043
2012-01-03,2012,January,Tuesday,Spring,Clear,2236,2147,89,0.15
2012-01-04,2012,January,Wednesday,Spring,Partly Cloudy,2368,2273,95,0.1075
2012-01-05,2012,January,Thursday,Spring,Clear,3272,3132,140,0.265833
2012-01-06,2012,January,Friday,Spring,Clear,4098,3791,307,0.334167
2012-01-07,2012,January,Saturday,Spring,Clear,4521,3451,1070,0.393333
2012-01-08,2012,January,Sunday,Spring,Clear,3425,2826,599,0.3375
2012-01-09,2012,January,Monday,Spring,Partly Cloudy,2376,2270,106,0.224167
2012-01-10,2012,January,Tuesday,Spring,Clear,3598,3425,173,0.308696
2012-01-11,2012,January,Wednesday,Spring,Partly Cloudy,2177,2085,92,0.274167
2012-01-12,2012,January,Thursday,Spring,Partly Cloudy,4097,3828,269,0.3825
2012-01-13,2012,January,Friday,Spring,Clear,3214,3040,174,0.274167
2012-01-14,2012,January,Saturday,Spring,Clear,2493,2160,333,0.18
2012-01-15,2012,January,Sunday,Spring,Clear,2311,2027,284,0.166667
2012-01-16,2012,January,Monday,Spring,Clear,2298,2081,217,0.19
2012-01-17,2012,January,Tuesday,Spring,Partly Cloudy,2935,2808,127,0.373043
2012-01-18,2012,January,Wednesday,Spring,Clear,3376,3267,109,0.303333
2012-01-19,2012,January,Thursday,Spring,Clear,3292,3162,130,0.19
2012-01-20,2012,January,Friday,Spring,Partly Cloudy,3163,3048,115,0.2175
2012-01-21,2012,January,Saturday,Spring,Partly Cloudy,1301,1234,67,0.173333
2012-01-22,2012,January,Sunday,Spring,Partly Cloudy,1977,1781,196,0.1625
2012-01-23,2012,January,Monday,Spring,Partly Cloudy,2432,2287,145,0.218333
2012-01-24,2012,January,Tuesday,Spring,Clear,4339,3900,439,0.3425
2012-01-25,2012,January,Wednesday,Spring,Clear,4270,3803,467,0.294167
2012-01-26,2012,January,Thursday,Spring,Partly Cloudy,4075,3831,244,0.341667
2012-01-27,2012,January,Friday,Spring,Partly Cloudy,3456,3187,269,0.425
2012-01-28,2012,January,Saturday,Spring,Clear,4023,3248,775,0.315833
2012-01-29,2012,January,Sunday,Spring,Clear,3243,2685,558,0.2825
2012-01-30,2012,January,Monday,Spring,Clear,3624,3498,126,0.269167
2012-01-31,2012,January,Tuesday,Spring,Clear,4509,4185,324,0.39
2012-02-01,2012,February,Wednesday,Spring,Clear,4579,4275,304,0.469167
2012-02-02,2012,February,Thursday,Spring,Partly Cloudy,3761,3571,190,0.399167
2012-02-03,2012,February,Friday,Spring,Clear,4151,3841,310,0.313333
2012-02-04,2012,February,Saturday,Spring,Partly Cloudy,2832,2448,384,0.264167
2012-02-05,2012,February,Sunday,Spring,Partly Cloudy,2947,2629,318,0.265833
2012-02-06,2012,February,Monday,Spring,Clear,3784,3578,206,0.282609
2012-02-07,2012,February,Tuesday,Spring,Clear,4375,4176,199,0.354167
2012-02-08,2012,February,Wednesday,Spring,Partly Cloudy,2802,2693,109,0.256667
2012-02-09,2012,February,Thursday,Spring,Clear,3830,3667,163,0.265
2012-02-10,2012,February,Friday,Spring,Partly Cloudy,3831,3604,227,0.280833
2012-02-11,2012,February,Saturday,Spring,Light Snow/Rain,2169,1977,192,0.224167
2012-02-12,2012,February,Sunday,Spring,Clear,1529,1456,73,0.1275
2012-02-13,2012,February,Monday,Spring,Clear,3422,3328,94,0.2225
2012-02-14,2012,February,Tuesday,Spring,Partly Cloudy,3922,3787,135,0.319167
2012-02-15,2012,February,Wednesday,Spring,Clear,4169,4028,141,0.348333
2012-02-16,2012,February,Thursday,Spring,Partly Cloudy,3005,2931,74,0.316667
2012-02-17,2012,February,Friday,Spring,Clear,4154,3805,349,0.343333
2012-02-18,2012,February,Saturday,Spring,Clear,4318,2883,1435,0.346667
2012-02-19,2012,February,Sunday,Spring,Partly Cloudy,2689,2071,618,0.28
2012-02-20,2012,February,Monday,Spring,Clear,3129,2627,502,0.28
2012-02-21,2012,February,Tuesday,Spring,Clear,3777,3614,163,0.287826
2012-02-22,2012,February,Wednesday,Spring,Clear,4773,4379,394,0.395833
2012-02-23,2012,February,Thursday,Spring,Clear,5062,4546,516,0.454167
2012-02-24,2012,February,Friday,Spring,Partly Cloudy,3487,3241,246,0.4075
2012-02-25,2012,February,Saturday,Spring,Clear,2732,2415,317,0.290833
2012-02-26,2012,February,Sunday,Spring,Clear,3389,2874,515,0.279167
2012-02-27,2012,February,Monday,Spring,Clear,4322,4069,253,0.366667
2012-02-28,2012,February,Tuesday,Spring,Clear,4363,4134,229,0.359167
2012-02-29,2012,February,Wednesday,Spring,Partly Cloudy,1834,1769,65,0.344348
2012-03-01,2012,March,Thursday,Spring,Clear,4990,4665,325,0.485833
2012-03-02,2012,March,Friday,Spring,Partly Cloudy,3194,2948,246,0.353333
2012-03-03,2012,March,Saturday,Spring,Partly Cloudy,4066,3110,956,0.414167
2012-03-04,2012,March,Sunday,Spring,Clear,3423,2713,710,0.325833
2012-03-05,2012,March,Monday,Spring,Clear,3333,3130,203,0.243333
2012-03-06,2012,March,Tuesday,Spring,Clear,3956,3735,221,0.258333
2012-03-07,2012,March,Wednesday,Spring,Clear,4916,4484,432,0.404167
2012-03-08,2012,March,Thursday,Spring,Clear,5382,4896,486,0.5275
2012-03-09,2012,March,Friday,Spring,Partly Cloudy,4569,4122,447,0.410833
2012-03-10,2012,March,Saturday,Spring,Clear,4118,3150,968,0.2875
2012-03-11,2012,March,Sunday,Spring,Clear,4911,3253,1658,0.361739
2012-03-12,2012,March,Monday,Spring,Clear,5298,4460,838,0.466667
2012-03-13,2012,March,Tuesday,Spring,Clear,5847,5085,762,0.565
2012-03-14,2012,March,Wednesday,Spring,Clear,6312,5315,997,0.5725
2012-03-15,2012,March,Thursday,Spring,Clear,6192,5187,1005,0.5575
2012-03-16,2012,March,Friday,Spring,Partly Cloudy,4378,3830,548,0.435833
2012-03-17,2012,March,Saturday,Spring,Partly Cloudy,7836,4681,3155,0.514167
2012-03-18,2012,March,Sunday,Spring,Partly Cloudy,5892,3685,2207,0.4725
2012-03-19,2012,March,Monday,Spring,Clear,6153,5171,982,0.545
2012-03-20,2012,March,Tuesday,Spring,Clear,6093,5042,1051,0.560833
2012-03-21,2012,March,Wednesday,Summer,Partly Cloudy,6230,5108,1122,0.531667
2012-03-22,2012,March,Thursday,Summer,Clear,6871,5537,1334,0.554167
2012-03-23,2012,March,Friday,Summer,Partly Cloudy,8362,5893,2469,0.601667
2012-03-24,2012,March,Saturday,Summer,Partly Cloudy,3372,2339,1033,0.5025
2012-03-25,2012,March,Sunday,Summer,Partly Cloudy,4996,3464,1532,0.4375
2012-03-26,2012,March,Monday,Summer,Clear,5558,4763,795,0.445833
2012-03-27,2012,March,Tuesday,Summer,Clear,5102,4571,531,0.323333
2012-03-28,2012,March,Wednesday,Summer,Clear,5698,5024,674,0.484167
2012-03-29,2012,March,Thursday,Summer,Clear,6133,5299,834,0.494167
2012-03-30,2012,March,Friday,Summer,Partly Cloudy,5459,4663,796,0.37
2012-03-31,2012,March,Saturday,Summer,Partly Cloudy,6235,3934,2301,0.424167
2012-04-01,2012,April,Sunday,Summer,Partly Cloudy,6041,3694,2347,0.425833
2012-04-02,2012,April,Monday,Summer,Clear,5936,4728,1208,0.433913
2012-04-03,2012,April,Tuesday,Summer,Clear,6772,5424,1348,0.466667
2012-04-04,2012,April,Wednesday,Summer,Clear,6436,5378,1058,0.541667
2012-04-05,2012,April,Thursday,Summer,Clear,6457,5265,1192,0.435
2012-04-06,2012,April,Friday,Summer,Clear,6460,4653,1807,0.403333
2012-04-07,2012,April,Saturday,Summer,Clear,6857,3605,3252,0.4375
2012-04-08,2012,April,Sunday,Summer,Clear,5169,2939,2230,0.5
2012-04-09,2012,April,Monday,Summer,Clear,5585,4680,905,0.489167
2012-04-10,2012,April,Tuesday,Summer,Clear,5918,5099,819,0.446667
2012-04-11,2012,April,Wednesday,Summer,Clear,4862,4380,482,0.348696
2012-04-12,2012,April,Thursday,Summer,Clear,5409,4746,663,0.3975
2012-04-13,2012,April,Friday,Summer,Clear,6398,5146,1252,0.4425
2012-04-14,2012,April,Saturday,Summer,Clear,7460,4665,2795,0.495
2012-04-15,2012,April,Sunday,Summer,Clear,7132,4286,2846,0.606667
2012-04-16,2012,April,Monday,Summer,Clear,6370,5172,1198,0.664167
2012-04-17,2012,April,Tuesday,Summer,Clear,6691,5702,989,0.608333
2012-04-18,2012,April,Wednesday,Summer,Partly Cloudy,4367,4020,347,0.463333
2012-04-19,2012,April,Thursday,Summer,Clear,6565,5719,846,0.498333
2012-04-20,2012,April,Friday,Summer,Clear,7290,5950,1340,0.526667
2012-04-21,2012,April,Saturday,Summer,Clear,6624,4083,2541,0.57
2012-04-22,2012,April,Sunday,Summer,Light Snow/Rain,1027,907,120,0.396667
2012-04-23,2012,April,Monday,Summer,Partly Cloudy,3214,3019,195,0.321667
2012-04-24,2012,April,Tuesday,Summer,Clear,5633,5115,518,0.413333
2012-04-25,2012,April,Wednesday,Summer,Clear,6196,5541,655,0.476667
2012-04-26,2012,April,Thursday,Summer,Partly Cloudy,5026,4551,475,0.498333
2012-04-27,2012,April,Friday,Summer,Clear,6233,5219,1014,0.4575
2012-04-28,2012,April,Saturday,Summer,Partly Cloudy,4220,3100,1120,0.376667
2012-04-29,2012,April,Sunday,Summer,Clear,6304,4075,2229,0.458333
2012-04-30,2012,April,Monday,Summer,Partly Cloudy,5572,4907,665,0.464167
2012-05-01,2012,May,Tuesday,Summer,Partly Cloudy,5740,5087,653,0.613333
2012-05-02,2012,May,Wednesday,Summer,Clear,6169,5502,667,0.564167
2012-05-03,2012,May,Thursday,Summer,Partly Cloudy,6421,5657,764,0.56
2012-05-04,2012,May,Friday,Summer,Clear,6296,5227,1069,0.6275
2012-05-05,2012,May,Saturday,Summer,Partly Cloudy,6883,4387,2496,0.621667
2012-05-06,2012,May,Sunday,Summer,Partly Cloudy,6359,4224,2135,0.5625
2012-05-07,2012,May,Monday,Summer,Partly Cloudy,6273,5265,1008,0.5375
2012-05-08,2012,May,Tuesday,Summer,Partly Cloudy,5728,4990,738,0.581667
2012-05-09,2012,May,Wednesday,Summer,Partly Cloudy,4717,4097,620,0.575
2012-05-10,2012,May,Thursday,Summer,Clear,6572,5546,1026,0.505833
2012-05-11,2012,May,Friday,Summer,Clear,7030,5711,1319,0.533333
2012-05-12,2012,May,Saturday,Summer,Clear,7429,4807,2622,0.564167
2012-05-13,2012,May,Sunday,Summer,Clear,6118,3946,2172,0.6125
2012-05-14,2012,May,Monday,Summer,Partly Cloudy,2843,2501,342,0.573333
2012-05-15,2012,May,Tuesday,Summer,Partly Cloudy,5115,4490,625,0.611667
2012-05-16,2012,May,Wednesday,Summer,Clear,7424,6433,991,0.636667
2012-05-17,2012,May,Thursday,Summer,Clear,7384,6142,1242,0.593333
2012-05-18,2012,May,Friday,Summer,Clear,7639,6118,1521,0.564167
2012-05-19,2012,May,Saturday,Summer,Clear,8294,4884,3410,0.6
2012-05-20,2012,May,Sunday,Summer,Clear,7129,4425,2704,0.620833
2012-05-21,2012,May,Monday,Summer,Partly Cloudy,4359,3729,630,0.598333
2012-05-22,2012,May,Tuesday,Summer,Partly Cloudy,6073,5254,819,0.615
2012-05-23,2012,May,Wednesday,Summer,Partly Cloudy,5260,4494,766,0.621667
2012-05-24,2012,May,Thursday,Summer,Clear,6770,5711,1059,0.655
2012-05-25,2012,May,Friday,Summer,Clear,6734,5317,1417,0.68
2012-05-26,2012,May,Saturday,Summer,Clear,6536,3681,2855,0.6925
2012-05-27,2012,May,Sunday,Summer,Clear,6591,3308,3283,0.69
2012-05-28,2012,May,Monday,Summer,Clear,6043,3486,2557,0.7125
2012-05-29,2012,May,Tuesday,Summer,Clear,5743,4863,880,0.7225
2012-05-30,2012,May,Wednesday,Summer,Partly Cloudy,6855,6110,745,0.656667
2012-05-31,2012,May,Thursday,Summer,Clear,7338,6238,1100,0.68
2012-06-01,2012,June,Friday,Summer,Partly Cloudy,4127,3594,533,0.654167
2012-06-02,2012,June,Saturday,Summer,Clear,8120,5325,2795,0.583333
2012-06-03,2012,June,Sunday,Summer,Clear,7641,5147,2494,0.6025
2012-06-04,2012,June,Monday,Summer,Clear,6998,5927,1071,0.5975
2012-06-05,2012,June,Tuesday,Summer,Partly Cloudy,7001,6033,968,0.540833
2012-06-06,2012,June,Wednesday,Summer,Clear,7055,6028,1027,0.554167
2012-06-07,2012,June,Thursday,Summer,Clear,7494,6456,1038,0.6025
2012-06-08,2012,June,Friday,Summer,Clear,7736,6248,1488,0.649167
2012-06-09,2012,June,Saturday,Summer,Clear,7498,4790,2708,0.710833
2012-06-10,2012,June,Sunday,Summer,Clear,6598,4374,2224,0.726667
2012-06-11,2012,June,Monday,Summer,Partly Cloudy,6664,5647,1017,0.720833
2012-06-12,2012,June,Tuesday,Summer,Partly Cloudy,4972,4495,477,0.653333
2012-06-13,2012,June,Wednesday,Summer,Clear,7421,6248,1173,0.655833
2012-06-14,2012,June,Thursday,Summer,Clear,7363,6183,1180,0.648333
2012-06-15,2012,June,Friday,Summer,Clear,7665,6102,1563,0.639167
2012-06-16,2012,June,Saturday,Summer,Clear,7702,4739,2963,0.631667
2012-06-17,2012,June,Sunday,Summer,Clear,6978,4344,2634,0.5925
2012-06-18,2012,June,Monday,Summer,Partly Cloudy,5099,4446,653,0.568333
2012-06-19,2012,June,Tuesday,Summer,Clear,6825,5857,968,0.688333
2012-06-20,2012,June,Wednesday,Summer,Clear,6211,5339,872,0.7825
2012-06-21,2012,June,Thursday,Autumn,Clear,5905,5127,778,0.805833
2012-06-22,2012,June,Friday,Autumn,Clear,5823,4859,964,0.7775
2012-06-23,2012,June,Saturday,Autumn,Clear,7458,4801,2657,0.731667
2012-06-24,2012,June,Sunday,Autumn,Clear,6891,4340,2551,0.743333
2012-06-25,2012,June,Monday,Autumn,Clear,6779,5640,1139,0.715833
2012-06-26,2012,June,Tuesday,Autumn,Clear,7442,6365,1077,0.630833
2012-06-27,2012,June,Wednesday,Autumn,Clear,7335,6258,1077,0.6975
2012-06-28,2012,June,Thursday,Autumn,Clear,6879,5958,921,0.749167
2012-06-29,2012,June,Friday,Autumn,Clear,5463,4634,829,0.834167
2012-06-30,2012,June,Saturday,Autumn,Clear,5687,4232,1455,0.765
2012-07-01,2012,July,Sunday,Autumn,Clear,5531,4110,1421,0.815833
2012-07-02,2012,July,Monday,Autumn,Clear,6227,5323,904,0.781667
2012-07-03,2012,July,Tuesday,Autumn,Clear,6660,5608,1052,0.780833
2012-07-04,2012,July,Wednesday,Autumn,Clear,7403,4841,2562,0.789167
2012-07-05,2012,July,Thursday,Autumn,Clear,6241,4836,1405,0.8275
2012-07-06,2012,July,Friday,Autumn,Clear,6207,4841,1366,0.828333
2012-07-07,2012,July,Saturday,Autumn,Clear,4840,3392,1448,0.861667
2012-07-08,2012,July,Sunday,Autumn,Clear,4672,3469,1203,0.8225
2012-07-09,2012,July,Monday,Autumn,Partly Cloudy,6569,5571,998,0.710833
2012-07-10,2012,July,Tuesday,Autumn,Partly Cloudy,6290,5336,954,0.720833
2012-07-11,2012,July,Wednesday,Autumn,Clear,7264,6289,975,0.716667
2012-07-12,2012,July,Thursday,Autumn,Clear,7446,6414,1032,0.715833
2012-07-13,2012,July,Friday,Autumn,Partly Cloudy,7499,5988,1511,0.731667
2012-07-14,2012,July,Saturday,Autumn,Partly Cloudy,6969,4614,2355,0.703333
2012-07-15,2012,July,Sunday,Autumn,Clear,6031,4111,1920,0.745833
2012-07-16,2012,July,Monday,Autumn,Clear,6830,5742,1088,0.763333
2012-07-17,2012,July,Tuesday,Autumn,Clear,6786,5865,921,0.818333
2012-07-18,2012,July,Wednesday,Autumn,Clear,5713,4914,799,0.793333
2012-07-19,2012,July,Thursday,Autumn,Clear,6591,5703,888,0.77
2012-07-20,2012,July,Friday,Autumn,Partly Cloudy,5870,5123,747,0.665833
2012-07-21,2012,July,Saturday,Autumn,Light Snow/Rain,4459,3195,1264,0.595833
2012-07-22,2012,July,Sunday,Autumn,Partly Cloudy,7410,4866,2544,0.6675
2012-07-23,2012,July,Monday,Autumn,Clear,6966,5831,1135,0.741667
2012-07-24,2012,July,Tuesday,Autumn,Clear,7592,6452,1140,0.750833
2012-07-25,2012,July,Wednesday,Autumn,Clear,8173,6790,1383,0.724167
2012-07-26,2012,July,Thursday,Autumn,Clear,6861,5825,1036,0.776667
2012-07-27,2012,July,Friday,Autumn,Clear,6904,5645,1259,0.781667
2012-07-28,2012,July,Saturday,Autumn,Clear,6685,4451,2234,0.755833
2012-07-29,2012,July,Sunday,Autumn,Clear,6597,4444,2153,0.721667
2012-07-30,2012,July,Monday,Autumn,Clear,7105,6065,1040,0.730833
2012-07-31,2012,July,Tuesday,Autumn,Clear,7216,6248,968,0.713333
2012-08-01,2012,August,Wednesday,Autumn,Clear,7580,6506,1074,0.7175
2012-08-02,2012,August,Thursday,Autumn,Clear,7261,6278,983,0.7525
2012-08-03,2012,August,Friday,Autumn,Partly Cloudy,7175,5847,1328,0.765833
2012-08-04,2012,August,Saturday,Autumn,Clear,6824,4479,2345,0.793333
2012-08-05,2012,August,Sunday,Autumn,Clear,5464,3757,1707,0.769167
2012-08-06,2012,August,Monday,Autumn,Partly Cloudy,7013,5780,1233,0.7525
2012-08-07,2012,August,Tuesday,Autumn,Partly Cloudy,7273,5995,1278,0.735833
2012-08-08,2012,August,Wednesday,Autumn,Partly Cloudy,7534,6271,1263,0.75
2012-08-09,2012,August,Thursday,Autumn,Clear,7286,6090,1196,0.755833
2012-08-10,2012,August,Friday,Autumn,Partly Cloudy,5786,4721,1065,0.715833
2012-08-11,2012,August,Saturday,Autumn,Partly Cloudy,6299,4052,2247,0.6925
2012-08-12,2012,August,Sunday,Autumn,Clear,6544,4362,2182,0.700833
2012-08-13,2012,August,Monday,Autumn,Clear,6883,5676,1207,0.720833
2012-08-14,2012,August,Tuesday,Autumn,Clear,6784,5656,1128,0.726667
2012-08-15,2012,August,Wednesday,Autumn,Clear,7347,6149,1198,0.706667
2012-08-16,2012,August,Thursday,Autumn,Clear,7605,6267,1338,0.719167
2012-08-17,2012,August,Friday,Autumn,Clear,7148,5665,1483,0.723333
2012-08-18,2012,August,Saturday,Autumn,Clear,7865,5038,2827,0.678333
2012-08-19,2012,August,Sunday,Autumn,Partly Cloudy,4549,3341,1208,0.635833
2012-08-20,2012,August,Monday,Autumn,Partly Cloudy,6530,5504,1026,0.635833
2012-08-21,2012,August,Tuesday,Autumn,Clear,7006,5925,1081,0.649167
2012-08-22,2012,August,Wednesday,Autumn,Clear,7375,6281,1094,0.6675
2012-08-23,2012,August,Thursday,Autumn,Clear,7765,6402,1363,0.695833
2012-08-24,2012,August,Friday,Autumn,Partly Cloudy,7582,6257,1325,0.7025
2012-08-25,2012,August,Saturday,Autumn,Partly Cloudy,6053,4224,1829,0.661667
2012-08-26,2012,August,Sunday,Autumn,Partly Cloudy,5255,3772,1483,0.653333
2012-08-27,2012,August,Monday,Autumn,Clear,6917,5928,989,0.703333
2012-08-28,2012,August,Tuesday,Autumn,Clear,7040,6105,935,0.728333
2012-08-29,2012,August,Wednesday,Autumn,Clear,7697,6520,1177,0.685
2012-08-30,2012,August,Thursday,Autumn,Clear,7713,6541,1172,0.706667
2012-08-31,2012,August,Friday,Autumn,Clear,7350,5917,1433,0.764167
2012-09-01,2012,September,Saturday,Autumn,Partly Cloudy,6140,3788,2352,0.753333
2012-09-02,2012,September,Sunday,Autumn,Partly Cloudy,5810,3197,2613,0.696667
2012-09-03,2012,September,Monday,Autumn,Clear,6034,4069,1965,0.7075
2012-09-04,2012,September,Tuesday,Autumn,Clear,6864,5997,867,0.725833
2012-09-05,2012,September,Wednesday,Autumn,Clear,7112,6280,832,0.736667
2012-09-06,2012,September,Thursday,Autumn,Partly Cloudy,6203,5592,611,0.696667
2012-09-07,2012,September,Friday,Autumn,Clear,7504,6459,1045,0.703333
2012-09-08,2012,September,Saturday,Autumn,Partly Cloudy,5976,4419,1557,0.659167
2012-09-09,2012,September,Sunday,Autumn,Clear,8227,5657,2570,0.61
2012-09-10,2012,September,Monday,Autumn,Clear,7525,6407,1118,0.583333
2012-09-11,2012,September,Tuesday,Autumn,Clear,7767,6697,1070,0.5775
2012-09-12,2012,September,Wednesday,Autumn,Clear,7870,6820,1050,0.599167
2012-09-13,2012,September,Thursday,Autumn,Clear,7804,6750,1054,0.6125
2012-09-14,2012,September,Friday,Autumn,Clear,8009,6630,1379,0.633333
2012-09-15,2012,September,Saturday,Autumn,Clear,8714,5554,3160,0.608333
2012-09-16,2012,September,Sunday,Autumn,Clear,7333,5167,2166,0.58
2012-09-17,2012,September,Monday,Autumn,Partly Cloudy,6869,5847,1022,0.580833
2012-09-18,2012,September,Tuesday,Autumn,Partly Cloudy,4073,3702,371,0.623333
2012-09-19,2012,September,Wednesday,Autumn,Clear,7591,6803,788,0.5525
2012-09-20,2012,September,Thursday,Autumn,Clear,7720,6781,939,0.546667
2012-09-21,2012,September,Friday,Autumn,Clear,8167,6917,1250,0.599167
2012-09-22,2012,September,Saturday,Autumn,Clear,8395,5883,2512,0.65
2012-09-23,2012,September,Sunday,Winter,Clear,7907,5453,2454,0.529167
2012-09-24,2012,September,Monday,Winter,Clear,7436,6435,1001,0.514167
2012-09-25,2012,September,Tuesday,Winter,Clear,7538,6693,845,0.55
2012-09-26,2012,September,Wednesday,Winter,Clear,7733,6946,787,0.635
2012-09-27,2012,September,Thursday,Winter,Partly Cloudy,7393,6642,751,0.65
2012-09-28,2012,September,Friday,Winter,Partly Cloudy,7415,6370,1045,0.619167
2012-09-29,2012,September,Saturday,Winter,Clear,8555,5966,2589,0.5425
2012-09-30,2012,September,Sunday,Winter,Clear,6889,4874,2015,0.526667
2012-10-01,2012,October,Monday,Winter,Partly Cloudy,6778,6015,763,0.520833
2012-10-02,2012,October,Tuesday,Winter,Light Snow/Rain,4639,4324,315,0.590833
2012-10-03,2012,October,Wednesday,Winter,Partly Cloudy,7572,6844,728,0.6575
2012-10-04,2012,October,Thursday,Winter,Partly Cloudy,7328,6437,891,0.6575
2012-10-05,2012,October,Friday,Winter,Clear,8156,6640,1516,0.615
2012-10-06,2012,October,Saturday,Winter,Clear,7965,4934,3031,0.554167
2012-10-07,2012,October,Sunday,Winter,Partly Cloudy,3510,2729,781,0.415833
2012-10-08,2012,October,Monday,Winter,Partly Cloudy,5478,4604,874,0.383333
2012-10-09,2012,October,Tuesday,Winter,Partly Cloudy,6392,5791,601,0.446667
2012-10-10,2012,October,Wednesday,Winter,Clear,7691,6911,780,0.514167
2012-10-11,2012,October,Thursday,Winter,Clear,7570,6736,834,0.435
2012-10-12,2012,October,Friday,Winter,Clear,7282,6222,1060,0.4375
2012-10-13,2012,October,Saturday,Winter,Clear,7109,4857,2252,0.393333
2012-10-14,2012,October,Sunday,Winter,Clear,6639,4559,2080,0.521667
2012-10-15,2012,October,Monday,Winter,Partly Cloudy,5875,5115,760,0.561667
2012-10-16,2012,October,Tuesday,Winter,Clear,7534,6612,922,0.468333
2012-10-17,2012,October,Wednesday,Winter,Clear,7461,6482,979,0.455833
2012-10-18,2012,October,Thursday,Winter,Partly Cloudy,7509,6501,1008,0.5225
2012-10-19,2012,October,Friday,Winter,Partly Cloudy,5424,4671,753,0.563333
2012-10-20,2012,October,Saturday,Winter,Clear,8090,5284,2806,0.484167
2012-10-21,2012,October,Sunday,Winter,Clear,6824,4692,2132,0.464167
2012-10-22,2012,October,Monday,Winter,Clear,7058,6228,830,0.4875
2012-10-23,2012,October,Tuesday,Winter,Clear,7466,6625,841,0.544167
2012-10-24,2012,October,Wednesday,Winter,Clear,7693,6898,795,0.5875
2012-10-25,2012,October,Thursday,Winter,Partly Cloudy,7359,6484,875,0.55
2012-10-26,2012,October,Friday,Winter,Partly Cloudy,7444,6262,1182,0.545833
2012-10-27,2012,October,Saturday,Winter,Partly Cloudy,7852,5209,2643,0.53
2012-10-28,2012,October,Sunday,Winter,Partly Cloudy,4459,3461,998,0.4775
2012-10-29,2012,October,Monday,Winter,Light Snow/Rain,22,20,2,0.44
2012-10-30,2012,October,Tuesday,Winter,Partly Cloudy,1096,1009,87,0.318182
2012-10-31,2012,October,Wednesday,Winter,Partly Cloudy,5566,5147,419,0.3575
2012-11-01,2012,November,Thursday,Winter,Partly Cloudy,5986,5520,466,0.365833
2012-11-02,2012,November,Friday,Winter,Clear,5847,5229,618,0.355
2012-11-03,2012,November,Saturday,Winter,Partly Cloudy,5138,4109,1029,0.343333
2012-11-04,2012,November,Sunday,Winter,Clear,5107,3906,1201,0.325833
2012-11-05,2012,November,Monday,Winter,Clear,5259,4881,378,0.319167
2012-11-06,2012,November,Tuesday,Winter,Clear,5686,5220,466,0.280833
2012-11-07,2012,November,Wednesday,Winter,Partly Cloudy,5035,4709,326,0.295833
2012-11-08,2012,November,Thursday,Winter,Clear,5315,4975,340,0.352174
2012-11-09,2012,November,Friday,Winter,Clear,5992,5283,709,0.361667
2012-11-10,2012,November,Saturday,Winter,Clear,6536,4446,2090,0.389167
2012-11-11,2012,November,Sunday,Winter,Clear,6852,4562,2290,0.420833
2012-11-12,2012,November,Monday,Winter,Clear,6269,5172,1097,0.485
2012-11-13,2012,November,Tuesday,Winter,Partly Cloudy,4094,3767,327,0.343333
2012-11-14,2012,November,Wednesday,Winter,Clear,5495,5122,373,0.289167
2012-11-15,2012,November,Thursday,Winter,Partly Cloudy,5445,5125,320,0.321667
2012-11-16,2012,November,Friday,Winter,Clear,5698,5214,484,0.345
2012-11-17,2012,November,Saturday,Winter,Clear,5629,4316,1313,0.325
2012-11-18,2012,November,Sunday,Winter,Clear,4669,3747,922,0.3425
2012-11-19,2012,November,Monday,Winter,Partly Cloudy,5499,5050,449,0.380833
2012-11-20,2012,November,Tuesday,Winter,Partly Cloudy,5634,5100,534,0.374167
2012-11-21,2012,November,Wednesday,Winter,Clear,5146,4531,615,0.353333
2012-11-22,2012,November,Thursday,Winter,Clear,2425,1470,955,0.34
2012-11-23,2012,November,Friday,Winter,Clear,3910,2307,1603,0.368333
